Detecting primes....................................Bits: 8, time = 0s
Detecting composites................................Bits: 8, time = 0s
Detecting primes....................................Bits: 10, time = 0s
Detecting composites.............................Wrong answer! 3...Bits: 10, time = 0s
Detecting primes....................................Bits: 12, time = 0s
Detecting composites................................Bits: 12, time = 0s
Detecting primes....................................Bits: 14, time = 0s
Detecting composites................................Bits: 14, time = 0s
Detecting primes....................................Bits: 16, time = 0s
Detecting composites................................Bits: 16, time = 0s
Detecting primes....................................Bits: 18, time = 0s
Detecting composites................................Bits: 18, time = 0s
Detecting primes....................................Bits: 20, time = 0s
Detecting composites................................Bits: 20, time = 0s
Detecting primes....................................Bits: 22, time = 0s
Detecting composites................................Bits: 22, time = 0s
Detecting primes....................................Bits: 24, time = 0s
Detecting composites................................Bits: 24, time = 0s
Detecting primes....................................Bits: 26, time = 0s
Detecting composites................................Bits: 26, time = 0s
Detecting primes....................................Bits: 28, time = 0s
Detecting composites................................Bits: 28, time = 0s
Detecting primes....................................Bits: 30, time = 0s
Detecting composites................................Bits: 30, time = 0s
Detecting primes....................................Bits: 32, time = 0s
Detecting composites................................Bits: 32, time = 0s
Detecting primes....................................Bits: 34, time = 0s
Detecting composites................................Bits: 34, time = 0s
Detecting primes....................................Bits: 36, time = 0s
Detecting composites................................Bits: 36, time = 0s
Detecting primes....................................Bits: 38, time = 0s
Detecting composites................................Bits: 38, time = 0s
Detecting primes....................................Bits: 40, time = 0s
Detecting composites................................Bits: 40, time = 0s
Detecting primes....................................Bits: 42, time = 0s
Detecting composites................................Bits: 42, time = 0s
Detecting primes....................................Bits: 44, time = 0s
Detecting composites................................Bits: 44, time = 0s
Detecting primes....................................Bits: 46, time = 0s
Detecting composites................................Bits: 46, time = 0s
Detecting primes....................................Bits: 48, time = 0s
Detecting composites................................Bits: 48, time = 0s
Detecting primes....................................Bits: 50, time = 0s
Detecting composites................................Bits: 50, time = 0s
Detecting primes....................................Bits: 52, time = 0s
Detecting composites................................Bits: 52, time = 0s
Detecting primes....................................Bits: 54, time = 0s
Detecting composites................................Bits: 54, time = 0s
Detecting primes....................................Bits: 56, time = 0s
Detecting composites................................Bits: 56, time = 0s
Detecting primes....................................Bits: 58, time = 0s
Detecting composites................................Bits: 58, time = 0s
Detecting primes....................................Bits: 60, time = 0s
Detecting composites................................Bits: 60, time = 0s
Detecting primes....................................Bits: 62, time = 0s
Detecting composites................................Bits: 62, time = 0s
Detecting primes....................................Bits: 64, time = 0s
Detecting composites................................Bits: 64, time = 0s
Detecting primes....................................Bits: 66, time = 0s
Detecting composites................................Bits: 66, time = 0s
Detecting primes....................................Bits: 68, time = 0s
Detecting composites................................Bits: 68, time = 0s
Detecting primes....................................Bits: 70, time = 0s
Detecting composites................................Bits: 70, time = 0s
Detecting primes....................................Bits: 72, time = 0s
Detecting composites................................Bits: 72, time = 0s
Detecting primes....................................Bits: 74, time = 0s
Detecting composites................................Bits: 74, time = 0s
Detecting primes....................................Bits: 76, time = 0s
Detecting composites................................Bits: 76, time = 0s
Detecting primes....................................Bits: 78, time = 0s
Detecting composites................................Bits: 78, time = 0s
Detecting primes....................................Bits: 80, time = 0s
Detecting composites................................Bits: 80, time = 0s
Detecting primes....................................Bits: 82, time = 0s
Detecting composites................................Bits: 82, time = 0s
Detecting primes....................................Bits: 84, time = 0s
Detecting composites................................Bits: 84, time = 0s
Detecting primes....................................Bits: 86, time = 0s
Detecting composites................................Bits: 86, time = 0s
Detecting primes....................................Bits: 88, time = 0s
Detecting composites................................Bits: 88, time = 0s
Detecting primes....................................Bits: 90, time = 0s
Detecting composites................................Bits: 90, time = 0s
Detecting primes....................................Bits: 92, time = 0s
Detecting composites................................Bits: 92, time = 0s
Detecting primes....................................Bits: 94, time = 0s
Detecting composites................................Bits: 94, time = 0s
Detecting primes....................................Bits: 96, time = 0s
Detecting composites................................Bits: 96, time = 0s
Detecting primes....................................Bits: 98, time = 0s
Detecting composites................................Bits: 98, time = 0s
Detecting primes....................................Bits: 100, time = 0s
Detecting composites................................Bits: 100, time = 0s
Detecting primes....................................Bits: 102, time = 0s
Detecting composites................................Bits: 102, time = 0s
Detecting primes....................................Bits: 104, time = 0s
Detecting composites................................Bits: 104, time = 0s
Detecting primes....................................Bits: 106, time = 0s
Detecting composites................................Bits: 106, time = 0s
Detecting primes....................................Bits: 108, time = 0s
Detecting composites................................Bits: 108, time = 0s
Detecting primes....................................Bits: 110, time = 0s
Detecting composites................................Bits: 110, time = 0s
Detecting primes....................................Bits: 112, time = 0s
Detecting composites................................Bits: 112, time = 0s
Detecting primes....................................Bits: 114, time = 0s
Detecting composites................................Bits: 114, time = 0s
Detecting primes....................................Bits: 116, time = 0s
Detecting composites................................Bits: 116, time = 0s
Detecting primes....................................Bits: 118, time = 1s
Detecting composites................................Bits: 118, time = 0s
Detecting primes....................................Bits: 120, time = 1s
Detecting composites................................Bits: 120, time = 0s
Detecting primes....................................Bits: 122, time = 1s
Detecting composites................................Bits: 122, time = 0s
Detecting primes....................................Bits: 124, time = 1s
Detecting composites................................Bits: 124, time = 0s
Detecting primes....................................Bits: 126, time = 1s
Detecting composites................................Bits: 126, time = 0s
Detecting primes....................................Bits: 128, time = 1s
Detecting composites................................Bits: 128, time = 0s
Detecting primes....................................Bits: 130, time = 1s
Detecting composites................................Bits: 130, time = 0s
Detecting primes....................................Bits: 132, time = 1s
Detecting composites................................Bits: 132, time = 0s
Detecting primes....................................Bits: 134, time = 2s
Detecting composites................................Bits: 134, time = 0s
Detecting primes....................................Bits: 136, time = 2s
Detecting composites................................Bits: 136, time = 0s
Detecting primes....................................Bits: 138, time = 2s
Detecting composites................................Bits: 138, time = 0s
Detecting primes....................................Bits: 140, time = 2s
Detecting composites................................Bits: 140, time = 0s
Detecting primes....................................Bits: 142, time = 2s
Detecting composites................................Bits: 142, time = 0s
Detecting primes....................................Bits: 144, time = 2s
Detecting composites................................Bits: 144, time = 0s
Detecting primes....................................Bits: 146, time = 2s
Detecting composites................................Bits: 146, time = 0s
Detecting primes....................................Bits: 148, time = 2s
Detecting composites................................Bits: 148, time = 0s
Detecting primes....................................Bits: 150, time = 2s
Detecting composites................................Bits: 150, time = 0s
Detecting primes....................................Bits: 152, time = 3s
Detecting composites................................Bits: 152, time = 0s
Detecting primes....................................Bits: 154, time = 3s
Detecting composites................................Bits: 154, time = 0s
Detecting primes....................................Bits: 156, time = 3s
Detecting composites................................Bits: 156, time = 0s
Detecting primes....................................Bits: 158, time = 3s
Detecting composites................................Bits: 158, time = 0s
Detecting primes....................................Bits: 160, time = 3s
Detecting composites................................Bits: 160, time = 0s
Detecting primes....................................Bits: 162, time = 4s
Detecting composites................................Bits: 162, time = 0s
